,xcoord,ycoord,year,datestop,timestop,crimsusp,arstmade,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,city,state,zip,lat,long
88,1001338,229397,2015,1022015,1859,FEL,N,L, , ,SIDEWALK, , ,2 AVENUE,EAST 115 STREET,MANHATTAN, , ,40.79996,-73.946973
89,1001338,229397,2015,1022015,1859,FEL,N,L, , ,SIDEWALK, , ,2 AVENUE,EAST 115 STREET,MANHATTAN, , ,40.79996,-73.946973
90,1000824,244205,2015,1022015,1900,FELONY,N,L, , ,CAR, , ,SAINT NICHOLAS AVENUE,WEST 163 STREET,MANHATTAN, , ,40.833098,-73.940653
91,1022094,182539,2015,1022015,2000,ROBBERY,N,L, , ,WALKWAY,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
92,1022094,182539,2015,1022015,2000,ROBBERY,Y,L, , ,HALLWAY,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
93,1022094,182539,2015,1022015,2000,ROBBERY,Y,L, , ,WALKWAY,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
94,1022094,182539,2015,1022015,2000,ROBBERY,N,L, , ,WALKWAY,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
95,1022094,182539,2015,1022015,2000,ROBBERY,N,L, , ,WALKWAY,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
96,1022094,182539,2015,1022015,2000,ROBBERY,N,L, , ,HALLWAY,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
97,1022094,182539,2015,1022015,2000,ROBBERY,Y,L, , ,WALKWAY,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE,BROOKLYN, , ,40.714269,-74.005973
98,965304,155866,2015,1022015,2005,PET LARC,N,L, , ,SIDEWALK,110,ARTHUR AVENUE,ROBIN ROAD,CEDAR AVENUE,STATEN IS, , ,40.714269,-74.005973
99,1000678,230719,2015,1022015,2010,POSSESSION OF WEAPON/FIR,N,L, , ,STREET/SIDEWALK, , ,LEXINGTON AVENUE,EAST 118 STREET,MANHATTAN, , ,40.797944,-73.94212
100,1000678,230719,2015,1022015,2010,CPW,N,L, , ,SIDEWALK, , ,LEXINGTON AVENUE,EAST 118 STREET,MANHATTAN, , ,40.797944,-73.94212
101,947737,172603,2015,1022015,2021,FELONY,N,L, , ,SIDEWALK, , ,RICHMOND TERRACE,PORT RICHMOND AVENUE,STATEN IS, , ,42.825544,-77.533064
102,947737,172603,2015,1022015,2021,FELONY,N,L, , ,SIDEWALK, , ,RICHMOND TERRACE,PORT RICHMOND AVENUE,STATEN IS, , ,42.825544,-77.533064
103,947737,172603,2015,1022015,2021,FELONY,N,L, , ,SIDEWALK, , ,RICHMOND TERRACE,PORT RICHMOND AVENUE,STATEN IS, , ,42.825544,-77.533064
104,947737,172603,2015,1022015,2021,FELONY,N,L, , ,SIDEWALK, , ,RICHMOND TERRACE,PORT RICHMOND AVENUE,STATEN IS, , ,42.825544,-77.533064
105,1006375,246656,2015,1022015,2030,CPW,N,L, , ,SIDEWALK, , ,SHAKESPEARE AVENUE,WEST 172 STREET,BRONX, , ,40.842915,-73.93659
106,990709,201025,2015,1022015,2100,MISD,N,L, , ,SIDEWALK,130,BARUCH PLACE,EAST HOUSTON STREET,STANTON STREET,MANHATTAN, , ,40.718529,-73.976637
107,990709,201025,2015,1022015,2100,MISD,Y,L, , ,SIDEWALK,130,BARUCH PLACE,EAST HOUSTON STREET,STANTON STREET,MANHATTAN, , ,40.718529,-73.976637
108,1008390,242057,2015,1022015,2100,CPW,N,L, , ,STREET,336,EAST 167 STREET,TELLER AVENUE,FINDLAY AVENUE,BRONX, , ,40.838077,-73.93623
109,1010912,182108,2015,1022015,2100,CPW,N,L, , ,SIDEWALK,422,BLAKE AVENUE,POWELL STREET,STONE AVENUE,BROOKLYN, , ,40.714269,-74.005973
110,1009828,181318,2015,1022015,2157,CPW,N,L, , ,LOBBY,340,DUMONT AVENUE,STONE AVENUE,ROCKAWAY AVENUE,BROOKLYN, , ,42.616785,-77.402351
111,1009828,181318,2015,1022015,2200,CPW,N,L, , ,LOBBY,340,DUMONT AVENUE,STONE AVENUE,ROCKAWAY AVENUE,BROOKLYN, , ,42.616785,-77.402351
112,1024887,267203,2015,1022015,2315,FEL,N,L, , ,SIDEWALK, , ,WHITE PLAINS ROAD,EAST 239 STREET,BRONX, , ,40.718025,-74.003046
113,989317,162811,2015,1022015,2335,MIS,N,L, , ,"SUBWAY STATION ""N""", , ,WEST 7 STREET,BAY PARKWAY,BROOKLYN, , ,40.728929,-73.990359
114,1010638,248020,2015,1022015,2350,CPW,N,L, , ,STREET, , ,EAST 176 STREET,CLAY AVENUE,BRONX, , ,40.84552,-73.934686
115,1010638,248020,2015,1022015,2355,CPW,N,L, , ,STREET, , ,EAST 176 STREET,CLAY AVENUE,BRONX, , ,40.84552,-73.934686
116,1010638,248020,2015,1022015,2358,CPW,N,L, , ,ST, , ,CLAY AVENUE,EAST 176 STREET,BRONX, , ,40.84552,-73.934686
117,1013911,185632,2015,1032015,30,CPW,N,L, , ,PUBLIC SIDEWALK, , ,BRADFORD STREET,ATLANTIC AVENUE,BROOKLYN, , ,43.160238,-77.446186
118,996679,158901,2015,1032015,100,FEL,N,L, , , ,1930,EAST 17 STREET,AVENUE T,AVENUE S,BROOKLYN, , ,40.733242,-73.981127
